id,name,category,description,price,image,available,featured
1,Strawberry Elaichi Cookie,made to order,A moist strawberry flavored cookie infused with ground cardamom, topped with strawberry frosting and sprinkled with fresh cardamom powder.,3.5,https://unsplash.com
2,Thandai Cookie,made to order,"All the flavors of the traditional Holi drink, then drizzled with white icing and garnished with a mixture of pistachios almond crumbs and rose petals.",4.5,https://unsplash.com
3,Quadruple Chocolate Cookie,made to order,A whole lotta chocolate ! fluffy soft chocolate fudge cookie with chocolate chips, topped with chocolate fuge frosting and more chocolate chips.,4,https://unsplash.com
4,Pistacio Creme Cookie,made to order,A soft pistachio pudding cookie with white cream frosting, garnished with pistachio crumbs.,3.5,https://unsplash.com
5,Pina Colada Cookie,made to order,A pineapple flavored cookie topped with white frosting, dried pineapple pieces and shredded coconut.,4.5,https://unsplash.com
6,Masala Chai Cookie,made to order,A chai masala blend infused cookie, topped with white frosting and garnished with cinnamon sticks and star anise pods,4,https://unsplash.com
8,Peanutella Biscoff Cookie,made to order,A simple peanut butter cookie with not-so-simple toppings of nutella and biscoff.,4.5,https://unsplash.com
9,Celebration Cookie,made to order,A fluffy sugar cookie topped with white frosting and sprinkled with various colored sprinkles.,3.5,https://unsplash.com
